day,ref_lowess_ngml
0,266.5585614544101
1,267.2336974834458
2,267.7849201624046
3,268.2245544385641
4,268.58466045496255
5,268.90219520288
6,269.229631117542
7,269.6702397466965
8,269.9345420470584
9,268.1653322549067
10,266.5848098929418
11,264.8682191369194
12,263.2166985601468
13,261.5899693966789
14,259.8471754721056
15,257.96118888276413
16,255.98467376142088
17,254.00724592463436
18,252.0706425367732
19,250.2498828736824
20,248.46656565339765
21,246.5953185534305
22,244.629029085352
23,242.52573790384108
24,240.2069787994411
25,237.91822471664508
26,235.6311655221227
27,233.4115960049944
28,231.2749598905373
29,229.21228352140537
30,227.25955516784467
31,225.61557113079425
32,223.85433195243525
33,222.23490843683783
34,220.48537768677863
35,218.93997677929872
36,217.35307159173965
37,216.11685516740573
38,214.99827978151484
39,213.74289490923385
40,212.9069336835008
41,212.137340034624
42,211.1256095831025
43,210.36849274060037
44,209.4214436042793
45,208.6501563445622
46,207.72047009231272
47,206.9124975794424
48,206.01939049780535
49,205.16639064027032
50,204.41739163318505
51,203.68845414839203
52,202.89291193379069
53,202.1087525120192
54,201.28628671749496
55,200.40977884481512
56,199.48789691711525
57,198.6075143215442
58,197.6204590146933
59,196.6986270834049
60,195.63641424614391
61,194.6691844504679
62,193.5377874768999
63,192.51635271630155
64,191.46905538860415
65,190.22884485680297
66,189.1193560605873
67,187.8113778712784
68,186.6443432714053
69,185.290768285631
70,184.0777801256627
71,182.6944018796675
72,181.4335169018371
73,180.14255848641784
74,178.6784883660021
75,177.3280484044069
76,175.80735936723724
77,174.39631236982672
78,172.8163955684884
79,171.34518246579927
80,169.7154507548704
81,168.19166339604158
82,166.518994641224
83,164.83062777597536
84,163.24213531578383
85,161.5253002112345
86,159.89795517623205
87,158.24987684612637
88,156.49293915184754
89,154.72922480059336
90,153.03907154455405
91,151.26249387958185
92,149.48301229788845
93,147.76102006394328
94,145.97114689878208
95,144.1785715687709
96,142.38555482434404
97,140.59406920155712
98,138.83719803357664
99,137.04352430779497
100,135.2505290594099
